longitude,latitude,east_velocity,north_velocity,up_velocity,east_velocity_std,north_velocity_std,up_velocity_std
-117.09319580889999,34.1164090607,-15.73,16.48,2.6100000000000003,0.37,0.2,0.53
-117.09319579279997,34.116409030599996,-15.73,16.48,2.6100000000000003,0.37,0.2,0.53
-117.0931953843,34.1164094508,-15.73,16.48,2.6100000000000003,0.37,0.2,0.53
-117.0931953489,34.1164094529,-15.73,16.48,2.6100000000000003,0.37,0.2,0.53
-117.09319532200001,34.1164094502,-15.73,16.48,2.6100000000000003,0.37,0.2,0.53
-117.09319529209998,34.1164094932,-15.73,16.48,2.6100000000000003,0.37,0.2,0.53
-117.44489146450002,33.2742666992,-26.630000000000003,28.299999999999997,-1.31,0.15,0.13999999999999999,0.42000000000000004
-117.44489146490002,33.2742667008,-26.599999999999998,28.23,-1.1800000000000002,0.41,0.43,1.55
-116.4293795545,34.5942827386,-6.0200000000000005,6.68,0.45999999999999996,0.15,0.12,0.37
-116.42937953200001,34.5942826563,-6.0200000000000005,6.68,0.45999999999999996,0.15,0.12,0.37
-118.694801385,34.8244925658,-15.559999999999999,17.11,2.17,0.18000000000000002,0.13,0.39
-118.6948014045,34.8244925745,-15.559999999999999,17.11,2.17,0.18000000000000002,0.13,0.39
-118.69480140259998,34.824492581,-15.559999999999999,17.11,2.17,0.18000000000000002,0.13,0.39
-118.6948013882,34.8244925814,-15.559999999999999,17.11,2.17,0.18000000000000002,0.13,0.39
-119.36347248189998,34.015008459899995,-28.839999999999996,32.88999999999999,1.8699999999999999,0.13999999999999999,0.39,1.2
-119.3634724906,34.0150084307,-28.839999999999996,32.88999999999999,1.8699999999999999,0.13999999999999999,0.39,1.2
-119.3634724945,34.015008432100004,-28.839999999999996,32.88999999999999,1.8699999999999999,0.13999999999999999,0.39,1.2
-117.3249310921,33.3418503589,-25.97,27.7,0.2,0.2,0.18999999999999997,0.6
-117.47650561919997,33.381137109,-26.060000000000002,28.049999999999997,-0.29,0.22,0.2,0.7
-118.91042493040001,35.2012529468,-15.5,10.329999999999998,-22.99,0.25,0.39,5.0
-118.9104250311,35.2012530579,-15.5,10.329999999999998,-22.99,0.25,0.39,5.0
-118.91042474900001,35.2012529792,-15.5,10.329999999999998,-22.99,0.25,0.39,5.0
-118.9105595558,35.2012606423,-14.35,10.43,-25.61,0.16,0.53,3.85
-118.91055950270001,35.2012606598,-14.35,10.43,-25.61,0.16,0.53,3.85
-118.91055951200002,35.2012606972,-14.35,10.43,-25.61,0.16,0.53,3.85
-118.91055953680001,35.201260669499995,-14.35,10.43,-25.61,0.16,0.53,3.85
-117.3083686171,39.3902615473,-3.34,1.46,-3.0100000000000002,0.15,0.16999999999999998,0.42000000000000004
-117.30836862610002,39.3902615525,-3.34,1.46,-3.0100000000000002,0.15,0.16999999999999998,0.42000000000000004
-117.3085976223,39.3904330943,-3.2600000000000002,1.4,-3.56,0.13,0.15,0.41
-117.30859763979998,39.3904331007,-3.2600000000000002,1.4,-3.56,0.13,0.15,0.41
-117.15397328360001,34.4683025247,-13.319999999999999,13.309999999999999,0.86,0.44,0.18000000000000002,0.48
-117.1539732812,34.4683025311,-13.319999999999999,13.309999999999999,0.86,0.44,0.18000000000000002,0.48
-117.15397360669999,34.4683026151,-13.319999999999999,13.309999999999999,0.86,0.44,0.18000000000000002,0.48
-117.15397346310002,34.4683027171,-13.319999999999999,13.309999999999999,0.86,0.44,0.18000000000000002,0.48
-117.15397329849998,34.4683027,-13.319999999999999,13.309999999999999,0.86,0.44,0.18000000000000002,0.48
-116.62969944080001,33.5400744252,-19.72,21.53,0.55,0.13,0.13,0.4
-116.6296993336,33.540074718,-19.72,21.53,0.55,0.13,0.13,0.4
-116.62969937049999,33.5400746277,-19.72,21.53,0.55,0.13,0.13,0.4
-116.62969935020001,33.5400746058,-19.72,21.53,0.55,0.13,0.13,0.4
-116.6296993448,33.540074639299995,-19.72,21.53,0.55,0.13,0.13,0.4
