station,longitude,latitude,north_velocity,north_velocity_std,east_velocity,east_velocity_std,up_velocity,up_velocity_std
BMCL,81.71,28.66,32.4,0.53,6.7,0.53,0.5,0.52
CHLM,85.31,28.21,29,0.52,8.4,0.52,4.7,0.8
CUOM,86.9,30.45,21.6,0.52,12.6,0.53,1.2,0.78
D053,107,40.32,-2.9,0.96,1.7,0.96,2.2,1.27
D055,108.72,39.85,-2.8,0.71,3.2,0.71,2.5,1.53
D056,109.8,39.35,-2.7,0.7,2.6,0.7,2.8,1.48
D058,109.82,38.29,-2.8,0.71,2.8,0.71,3.3,1.52
D059,107.23,38.48,-2.2,0.99,2.7,0.99,1.3,1.41
D061,109.43,36.65,-2.8,0.71,4,0.71,2.2,1.53
D062,107.19,36.77,-3.6,0.93,5.1,0.93,-1.2,1.14
D065,107.39,35.29,-3,0.71,5.5,0.71,1.5,1.53
D066,109,34.97,-4.8,0.96,5.9,0.96,-0.2,1.26
D072,108.23,34.5,-3.6,0.96,5.5,0.96,1.2,1.28
D073,107.58,34.43,-4.2,0.71,5.3,0.71,0.4,1.53
D074,107.38,34.47,-4.1,0.95,5.8,0.96,0.6,1.25
D077,108.19,34.3,-3.9,0.94,5.1,0.94,-0.9,1.17
D080,108.16,34.11,-3.7,0.92,5.7,0.92,1.2,1.08
D081,107.64,34.07,-3.2,0.98,5.9,0.99,1.3,1.36
D082,107.29,34.09,-3.2,0.71,5.5,0.71,1.5,1.54
D083,106.75,39.92,-2.9,0.71,3.3,0.71,0.2,1.54
D084,106.81,39.68,-2.8,0.69,4.3,0.72,2.7,1.44
D085,105.76,39.75,-0.6,0.71,0.6,0.71,1,1.53
D088,106.12,39.03,-1,0.7,3.3,0.7,3.4,1.47
D089,106.48,39.07,-3.1,0.91,3.2,0.91,2.7,1.02
D090,106.69,38.79,-2.8,0.71,3.1,0.71,0.8,1.53
D091,106.2,38.74,-1.3,0.94,4.2,0.94,0.7,1.16
D093,106.56,38.55,-3.1,0.98,3.7,0.98,1.7,1.37
D095,105.7,38.44,-1.2,0.96,4,0.96,0.5,1.27
D096,106.35,37.81,-2.3,0.71,3.6,0.71,1.9,1.54
D098,106.68,37.45,-2.7,0.79,2.8,0.79,1.6,1.9
D357,105.84,40.3,-0.6,1.84,6.6,1.85,-,-
D360,105.1,40.85,-2.6,1.82,5.3,1.84,-,-
D364,105.77,39.36,0.4,1.84,7,1.85,-,-
D365,106.92,39.17,-1.3,1.85,6.1,1.86,-,-
D367,106.44,38.89,-2.6,1.84,3.3,1.84,-,-
D368,105.39,38.76,0.7,1.85,7.9,1.86,-,-
D371,106.57,38.21,-1.4,1.86,7.4,1.86,-,-
D375,108.19,36.83,-1.4,1.91,4.8,1.93,-,-
D377,108.97,35.66,-2.7,1.95,6.3,1.97,-,-
D378,109.25,35.38,-3.8,2.74,8.6,2.74,-,-
D385,107.68,34.26,-3.9,1.93,10.5,1.96,-,-
DANA,89.24,29.7,22,0.56,14.1,0.59,3.4,0.84
DLHA,97.38,37.38,4,0.51,6.5,0.51,0.6,0.82
DLPA,82.82,28.98,24.4,0.53,4.9,0.53,3.7,0.51
DXIN,100.2,40.98,-0.6,0.51,2.3,0.51,1.8,0.93
G001,105.13,38.05,-0.3,0.71,2.6,0.71,2.6,1.54
G002,105.89,37.54,-0.6,0.76,5,0.76,0.5,1.78
G003,105.55,37.52,-0.2,0.71,4.5,0.71,2.5,1.51
G004,105.18,37.58,0.1,0.85,2.3,0.84,1.2,2.19
G005,105.67,37.36,-0.1,0.95,4.6,0.96,2.3,1.24
G006,105.22,37.24,0.2,0.75,4.5,0.75,1.6,1.7
G007,105.88,36.97,-0.6,0.95,4.5,0.95,2,1.21
G008,105.27,36.93,-0.5,0.71,5.1,0.71,2.3,1.51
G009,106.36,36.84,-2.4,0.71,5,0.71,1.8,1.52
G010,106.1,36.63,-2,0.7,5.2,0.71,1,1.45
G011,105.25,36.66,-1.5,0.77,8.1,0.77,1.2,1.79
G012,105.62,36.51,-0.6,0.87,8.2,0.87,1.5,2.3
G013,105.98,36.28,-1.7,0.71,6.6,0.71,0.8,1.52
G014,105.29,36.5,-2.3,0.94,8.5,0.94,2.3,1.16
G015,105.62,36.28,-2.1,0.79,8.6,0.79,3.5,1.9
G016,106.65,36.1,-2.9,0.94,4.9,0.95,1.6,1.19
G017,106.22,36.02,-3,0.17,5.2,0.17,2.1,0.82
G018,105.8,35.96,-4.4,0.96,6.1,0.96,3.5,1.28
G019,104.96,36.09,-1.5,0.71,8,0.72,2.1,1.56
G020,106.2,35.67,-3.1,0.96,6.1,0.96,3,1.25
G021,105.01,35.73,-0.5,0.98,7.2,0.98,1,1.38
G022,106.12,35.6,-4.4,0.71,5.2,0.71,0.4,1.54
G023,105.5,35.61,-2.2,0.71,6.9,0.71,-0.9,1.52
G024,106.58,35.46,-4.2,0.99,5.8,0.99,1.7,1.43
G025,106.4,35.46,-3.2,0.72,7.6,0.72,0.5,1.54
G026,105.02,35.41,-2.4,0.91,5.5,0.91,2.3,1.05
G027,106.53,35.24,-3.3,0.91,6.9,0.91,1.8,1.01
G028,106.01,35.17,-3.2,0.78,6.6,0.78,2.5,1.87
G030,105.79,35.08,-3.3,0.71,5.4,0.71,1.8,1.53
G031,106.21,35.01,-5.2,0.77,5.8,0.76,4.2,1.7
G032,106.82,34.89,-4,0.71,4.8,0.71,1.3,1.52
G033,105.65,34.87,-4.2,0.95,4.5,0.95,2.4,1.23
G034,106.16,34.75,-3.4,0.69,5.8,0.69,2.2,1.11
G035,105.37,34.79,-3.2,0.98,5.8,0.98,2.5,1.38
G036,106.4,34.52,-4.1,0.71,4.6,0.71,2.4,1.53
G037,105.7,34.59,-3.4,0.7,5.7,0.71,2.3,1.5
G038,107.14,34.43,-4.6,0.95,3.9,0.95,1.9,1.24
G039,105.81,34.25,-4.2,0.71,5.1,0.71,2.1,1.54
G040,101.06,41.96,-0.6,0.72,2.2,0.72,0.7,1.54
G041,99.07,40.28,0.7,0.98,1.8,0.98,-0.5,1.41
G042,104.51,40.74,-1.2,0.99,2,0.99,2.6,1.43
G043,104.81,40.16,-1.4,0.91,2.3,0.91,2.2,1
G044,100.15,39.72,0.3,0.71,1.8,0.71,2.1,1.52
G045,100.79,39.61,0.1,0.95,2.1,0.95,1.1,1.22
G046,102.78,39.41,-0.3,0.71,2.3,0.71,3.4,1.51
G047,101.66,39.22,-1,0.62,2.5,0.62,2.3,1.77
G048,100.32,39.24,0.1,0.97,1.8,0.97,1.4,1.34
G049,102.57,39.13,0.1,0.71,2.9,0.71,1.7,1.53
G050,103.36,38.85,-1,0.98,3.4,0.98,1.5,1.36
G051,100.73,38.88,1.1,0.91,2.7,0.91,0.7,1.04
G052,101.19,38.72,0,0.97,1.5,0.97,2,1.33
G053,103.19,38.54,1.1,0.77,4.3,0.77,0.6,1.84
G054,100.35,38.61,1.7,0.99,3.6,0.99,0.5,1.42
G055,101.35,38.16,0.9,0.77,4.8,0.77,1,1.81
G056,102.89,38.42,0,0.71,4,0.71,0.9,1.52
G057,102.15,38.43,1,0.97,4.3,0.97,2.5,1.32
G058,101.74,38.3,0.8,0.17,4.2,0.17,1.9,0.81
G059,100.83,38.35,1.2,0.74,3.6,0.74,2.1,1.65
G060,102.11,38.28,0.8,0.71,4.1,0.71,2,1.52
G061,102.26,38.14,0.5,0.19,4.1,0.19,1,0.92
G062,100.24,38.18,1.7,0.19,4.4,0.19,2.8,0.92
G063,102.64,37.78,0.8,0.71,4.7,0.71,3.4,1.53
G064,102.32,37.96,0.8,0.71,5.2,0.71,2.3,1.53
G065,100.94,37.97,1.6,0.99,5.4,0.99,3,1.44
